product,consom,unit,tax,currency,geo\time	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 	1998S2 	1998S1 	1997S2 	1997S1 	1996S2 	1996S1 	1995S2 	1995S1 	1994S2 	1994S1 	1993S2 	1993S1 	1992S2 	1992S1 	1991S2 
6000,4262830,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0381 	0.0381 	0.0401 	0.0401 	0.0401 	0.0401 	0.0422 	0.0422 	0.0429 	0.0429 	0.0434 	0.0434 	0.0437 	0.0437 	0.0434 	0.0434 	0.0429 	0.0429 
6000,4262830,KWH,X_VAT,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0381 	0.0381 	0.0401 	0.0401 	0.0401 	0.0401 	0.0422 	0.0422 	0.0429 	0.0429 	0.0434 	0.0434 	0.0437 	0.0437 	0.0434 	0.0434 	0.0429 	0.0429 
6000,4262831,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0423 	0.0423 	0.0433 	0.0442 	0.0454 	0.0454 	0.0478 	0.0478 	0.0486 	0.0478 	0.0484 	0.0484 	0.0487 	0.0490 	0.0486 	0.0486 	0.0480 	0.0480 
6000,4262831,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0358 	0.0358 	0.0377 	0.0377 	0.0377 	0.0377 	0.0396 	0.0396 	0.0403 	0.0403 	0.0408 	0.0408 	0.0411 	0.0413 	0.0409 	0.0409 	0.0404 	0.0404 
6000,4262831,KWH,X_VAT,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0358 	0.0358 	0.0377 	0.0377 	0.0377 	0.0377 	0.0396 	0.0396 	0.0403 	0.0403 	0.0408 	0.0408 	0.0411 	0.0413 	0.0409 	0.0409 	0.0404 	0.0404 
6000,4262832,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0414 	0.0414 	0.0424 	0.0433 	0.0445 	0.0445 	0.0468 	0.0468 	0.0475 	0.0468 	0.0474 	0.0474 	0.0477 	0.0479 	0.0475 	0.0475 	0.0469 	0.0469 
6000,4262832,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0350 	0.0350 	0.0369 	0.0369 	0.0369 	0.0369 	0.0388 	0.0388 	0.0394 	0.0394 	0.0400 	0.0400 	0.0402 	0.0404 	0.0400 	0.0400 	0.0395 	0.0395 
6000,4262832,KWH,X_VAT,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0350 	0.0350 	0.0369 	0.0369 	0.0369 	0.0369 	0.0388 	0.0388 	0.0394 	0.0394 	0.0400 	0.0400 	0.0402 	0.0404 	0.0400 	0.0400 	0.0395 	0.0395 
6000,4262833,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0405 	0.0405 	0.0415 	0.0423 	0.0435 	0.0435 	0.0457 	0.0457 	0.0465 	0.0457 	0.0464 	0.0464 	0.0466 	0.0522 	0.0468 	0.0468 	0.0461 	0.0461 
6000,4262833,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0342 	0.0342 	0.0361 	0.0361 	0.0361 	0.0361 	0.0379 	0.0379 	0.0386 	0.0386 	0.0391 	0.0391 	0.0393 	0.0440 	0.0395 	0.0395 	0.0388 	0.0388 
